"Id","btw","title","group"
"23",2111.99173403232,"Strange Fire: A Novel","Book"
"1436",2062.42176034973,"Solo Pienso en Ti","Music"
"303",2061.97019299726,"Singin' Some Soul","Music"
"8939",2043,"Gene Chandler - 20 Greatest Hits","Music"
"5339",2042,"Exploring the World of Chemistry: From Ancient Metals to High-Speed Computers","Book"
"976",2035.66666666667,"Hell House","Book"
"3155",2035.34285714286,"Fodor's New Zealand, 7th Edition : The Guide for All Budgets, Where to Stay, Eat, and Explore On and Off the BeatenPath (Fodor's New Zealand)","Book"
"9332",2035,"Marvel: The Characters and Their Universe : Collectors","Book"
"1326",2035,"Men and Popular Music in Algeria: The Social Significance of Rai (Modern Middle East Series (Austin, Tex.), No. 20.)","Book"
"719",1949.85191419127,"Chinese Bible-FL","Book"
"1824",1899.24257323021,"Asian Traditions Modern Expressions","Book"
"8458",1888.15193858558,"Making Their Own Way: Narratives for Transforming Higher Education to Promote Self-Development","Book"
"14949",1866.67053789473,"Fodor's Australia 2000","Book"
"10959",1817.80308479737,"Saturday (+1 Bonus Track)","Music"
"24636",1752.71351472725,"My First Numbers and Shapes Pack: Number Sense for the Preschool Child (My First)","Book"
"9119",1727.99908598264,"Shades of Redd","Music"
"1079",1681.90546825876,"A Dictionary of Birds","Book"
"983",1635,"Landmarks of New York III (Landmarks of New York)","Book"
"9626",1633.33333333333,"Let's Dance [ECD]","Music"
"5365",1632,"Understanding Digital PCS: The Tdma Standard (Artech House Mobile Communications Library)","Book"
"7608",1612.25582178829,"Sarai, Volume 6","Book"
"9402",1548.75697837144,"I Will Survive [Go.]","Music"
"35",1542.87281717401,"Burnt Toast on Davenport Street","Book"
"95",1526.35750318298,"The Heavy Flak Guns, 1933-1945: 88Mm, 105Mm, 128Mm, 150Mm, and Ballistic Directional Equipment","Book"
"12257",1511.54195766304,"La vida de Lazarillo de Tormes y de sus fortunas y adversidades","Book"
"449",1469.4711284035,"Audubon 365 Birds Page-A-Day Calendar 2002","Book"
"10018",1441.36281565312,"Love Songs of Al Webber","Music"
"458",1433.85799988424,"The Gift of Game","Music"
"3673",1412.99116099888,"Linguistic Imperialism (Oxford Applied Linguistics S.)","Book"
"83687",1399.18465696361,"Chocolate Is My Kryptonite: Feeding Your Feelings How to Survive the Forces of Food","Book"
"56",1386.55322547653,"Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!","Book"
"27",1335.27424138897,"The Columbia Anthology of Gay Literature","Book"
"30",1282.25562529108,"Solving Statics Problems with MathCAD","Book"
"28970",1229,"Atlas of the 20th Century  Atlas","Book"
"480",1195.29889833375,"Gunfighter Ballads & Trail Songs","Music"
"78",1179.19934811572,"The Ebony Cookbook: A Date With a Dish","Book"
"36038",1159.2290106164,"Legacy : A Biography of Moses and Walter Annenberg","Book"
"848",1150.46631704731,"Waiting to Disappear","Book"
"54391",1141.16856478408,"Olé Coltrane","Music"
"3589",1088.50423639255,"I Was Aboard a Ufo","Book"
"636",1086.871516749,"Picture This","Music"
"9955",1051.18495230148,"Cultures of Natural History","Book"
"331",1042.064612132,"Practical Skywatching (Nature Companion Series)","Book"
"36220",1021,NA,NA
"5735",972.150415910142,"Living Naked and Frugal: A Handbook for Parsimonious Nudity","Book"
"41464",969.272102547811,"Modern Control Technology: Components and Systems","Book"
"4697",830.599362591169,"Logic, or the Right Use of Reason in the Inquiry After Truth With a Variety of Rules to Guard Against Error in the Affairs of Religion and Human Life, (Great Awakening Writings (1725-1760))","Book"
"1040",820,"The Most Dulcimer","Music"
"20899",820,"Another Joyous Occasion","Music"
"889",820,"Insights of Genius: Imagery and Creativity in Science and Art","Book"
